episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
10,382839992.45336396,0.7256,0.7256,625114680.2288015,0.7028,0.7028,2251736518.5832176,0.7018,0.7018,2521209810.9879594,0.7058,0.7058,1098456212.4762363,0.6819,0.6819,578332838.8548465,0.6681,0.6681,223373679.80087486,0.7228,0.7228,5134600255.862495,-0.0,4105846598.1749907,0.4312
11,366651646.0314745,0.7332,0.7332,612278477.1300414,0.7063,0.7063,2229755179.83865,0.7068,0.7068,2526355636.7070537,0.7098,0.7098,1114937493.8759782,0.6814,0.6814,559541009.0960912,0.672,0.672,207048682.34939945,0.7188,0.7188,5034118779.167556,-0.0,4032980803.869635,0.4316
12,362883542.96883917,0.7351,0.7351,598567179.4540323,0.7116,0.7116,2171154606.2950835,0.7132,0.7132,2472457894.234732,0.712,0.712,1087605442.1218307,0.6856,0.6856,568557447.7686151,0.6762,0.6762,207007411.8506494,0.728,0.728,4936909649.178199,-0.0,3954069029.875439,0.4317
13,348257865.3107609,0.7371,0.7371,593543797.9632416,0.7174,0.7174,2097688943.070003,0.7143,0.7143,2378473116.380067,0.7134,0.7134,1037031609.2439786,0.6843,0.6843,555297980.136709,0.6807,0.6807,212776220.82158583,0.7314,0.7314,4754153073.48969,-0.0,3832778757.196874,0.4316
14,298563773.2940978,0.7366,0.7366,514895387.20130914,0.7216,0.7216,1792368207.057425,0.7155,0.7155,2125511845.1284928,0.7189,0.7189,910967454.6107898,0.6859,0.6859,473566476.73861736,0.6815,0.6815,173206340.22121665,0.7377,0.7377,4210602844.6276608,-0.0,3403004447.8736973,0.4312
15,265270416.8112281,0.7348,0.7348,458782581.10713536,0.7239,0.7239,1534517868.1788843,0.7164,0.7164,1869097298.1319008,0.7171,0.7171,796392457.6407338,0.6936,0.6936,399264510.38555396,0.6838,0.6838,143908378.48892513,0.7444,0.7444,3647899848.9327602,-0.0,2963522255.806976,0.4312
16,201223604.11015457,0.7285,0.7285,363134127.6534184,0.7269,0.7269,1218817725.2769172,0.7122,0.7122,1525512256.8093016,0.7064,0.7064,647211752.8992298,0.6955,0.6955,302714827.00488585,0.6842,0.6842,120494844.15006715,0.7358,0.7358,2968572937.284753,-0.0,2359394286.494276,0.4312
17,119421859.00240414,0.7287,0.7287,238069592.40616643,0.7241,0.7241,832092675.1985223,0.7104,0.7104,1116385102.13827,0.7094,0.7094,473964951.9790715,0.6953,0.6953,187969520.13426924,0.6832,0.6832,81349244.5648365,0.7369,0.7369,1938894677.2757406,-0.0,1595759968.2867625,0.4312
18,53860575.4802709,0.7228,0.7228,106381115.72168043,0.7179,0.7179,471852972.48032755,0.7056,0.7056,705457252.2898313,0.712,0.712,280290801.98320335,0.6917,0.6917,75828913.9066272,0.6802,0.6802,48308949.84731602,0.7382,0.7382,1005612235.544443,-0.0,760946349.4320633,0.4316
19,55302980.2407273,0.7206,0.7206,61373452.05467367,0.7133,0.7133,276173086.0934801,0.7084,0.7084,337369858.64190644,0.7075,0.7075,143158442.77907044,0.6896,0.6896,75801511.62606594,0.6809,0.6809,67191502.32034126,0.7413,0.7413,514470143.98109114,-0.0,482429155.02210075,0.4317
20,91620361.96244398,0.7214,0.7214,129296510.09267262,0.7071,0.7071,410182827.0893041,0.7043,0.7043,378698950.4182206,0.7023,0.7023,144889215.18384847,0.694,0.694,154666041.0292268,0.6715,0.6715,95557814.7248171,0.7305,0.7305,858123952.1449697,-0.0,760314026.9715018,0.4316
21,220608137.60245928,0.7255,0.7255,377076388.5779031,0.6875,0.6875,1204281379.939529,0.7078,0.7078,1305058708.9194274,0.697,0.697,564402319.774016,0.6851,0.6851,372224138.8974313,0.658,0.658,199691117.67290878,0.7178,0.7178,2516128735.4492793,-0.0,2125175316.076842,0.4312
22,360860424.6318837,0.7225,0.7225,669900490.0453331,0.6659,0.6659,1995441166.9492252,0.7057,0.7057,2319249730.3723125,0.6833,0.6833,1023658520.6151091,0.6667,0.6667,584311359.7362387,0.6407,0.6407,336286443.2225876,0.6914,0.6914,4333730490.483087,-0.0,3625569952.557271,0.4312
23,460956476.7659806,0.7239,0.7239,933472835.158886,0.6695,0.6695,2608303808.591349,0.706,0.706,3167122165.1584854,0.6788,0.6788,1390862534.1918745,0.6667,0.6667,763904197.851383,0.6433,0.6433,461255189.3741213,0.6822,0.6822,5859743314.260369,-0.0,4734372563.0490265,0.4312
24,575894846.1294129,0.7246,0.7246,1230241143.20281,0.666,0.666,3240848646.964968,0.7014,0.7014,3838852414.2336645,0.6677,0.6677,1753754409.827909,0.6601,0.6601,964554450.4842931,0.6448,0.6448,625011839.3541185,0.6702,0.6702,7273753591.432037,-0.0,5836157860.106919,0.4312
25,650586911.2938155,0.719,0.719,1433625536.1841505,0.6667,0.6667,3589871705.3972216,0.7002,0.7002,4283738928.5431976,0.6592,0.6592,1987066707.1824276,0.6583,0.6583,1080025662.332741,0.6446,0.6446,727203027.1232827,0.6676,0.6676,8214429294.330773,-0.0,6594660554.319472,0.4316
26,679859388.7911098,0.718,0.718,1587769833.6050959,0.6615,0.6615,3793102396.053056,0.7001,0.7001,4497433404.7885065,0.6622,0.6622,2123231251.0625026,0.6562,0.6562,1105741517.484142,0.6457,0.6457,784113671.98921,0.6666,0.6666,8608927247.242691,-0.0,6997232172.314337,0.4317
27,697018954.1174529,0.7222,0.7222,1678748041.794924,0.66,0.66,3871519329.141467,0.7035,0.7035,4561732793.002128,0.6609,0.6609,2220892242.6979065,0.6545,0.6545,1109614572.1852558,0.642,0.642,824757696.8659236,0.6719,0.6719,8870100745.065807,-0.0,7093906266.92573,0.4316
28,653377838.6366152,0.7106,0.7106,1633454937.5411844,0.6571,0.6571,3695624326.9972157,0.6957,0.6957,4361201197.3147135,0.6458,0.6458,2153934361.386008,0.6468,0.6468,1037083251.734886,0.6395,0.6395,741611146.1420385,0.662,0.662,8444714414.239019,-0.0,6594038368.734549,0.4312
29,588746235.0044125,0.7148,0.7148,1567976535.398169,0.6692,0.6692,3381298957.2686725,0.6984,0.6984,3917613386.6660414,0.6587,0.6587,2039462885.4703658,0.652,0.652,950634803.7900434,0.6492,0.6492,705963870.6964269,0.6701,0.6701,7737056757.765693,-0.0,6157291365.168665,0.4312
30,510560392.7337042,0.7125,0.7125,1368661812.8141055,0.6688,0.6688,2979811919.597326,0.6981,0.6981,3337614303.947808,0.6625,0.6625,1781337940.991836,0.6511,0.6511,803787993.565031,0.6488,0.6488,654455998.2645253,0.6753,0.6753,6765437743.084696,-0.0,5202170188.338659,0.4312
31,350102556.38826835,0.7206,0.7206,1052405151.838408,0.682,0.682,2234349807.2366266,0.7125,0.7125,2549586868.717068,0.6752,0.6752,1381565024.5512657,0.6635,0.6635,549426230.2572278,0.6555,0.6555,513730306.79328686,0.6936,0.6936,5226784944.398233,-0.0,3777212065.474684,0.4312
32,157762117.71319178,0.723,0.723,602324982.1743734,0.6868,0.6868,1274928459.2931783,0.7145,0.7145,1533674829.315778,0.6751,0.6751,844594159.2758014,0.6645,0.6645,265922418.97191027,0.6581,0.6581,276163610.6297252,0.6941,0.6941,2863810107.454068,-0.0,2138964929.6846616,0.4316
33,70407046.37164667,0.7252,0.7252,256107708.77756506,0.6858,0.6858,538224250.2762831,0.7158,0.7158,607160630.634325,0.6794,0.6794,400014834.5747462,0.6664,0.6664,110801830.02327038,0.657,0.657,158583884.3105214,0.6988,0.6988,1202293545.210618,-0.0,938708290.744506,0.4317
34,13420002.642055273,0.7314,0.7314,81934815.34298436,0.6857,0.6857,81055760.75388446,0.7209,0.7209,80153642.80385496,0.6834,0.6834,60141163.55736992,0.6674,0.6674,22934077.907524697,0.6591,0.6591,48068176.507073775,0.7038,0.7038,199122445.37380484,-0.0,170325186.00634658,0.4316
35,17526217.773309715,0.736,0.736,54474025.28227584,0.6878,0.6878,47258251.94604589,0.7217,0.7217,43681932.173406236,0.6783,0.6783,34769674.592893444,0.6701,0.6701,24651971.428133126,0.6637,0.6637,28794142.339348547,0.7055,0.7055,97003309.23277277,-0.0,78180317.1292366,0.4312
36,218234327.17484185,0.7372,0.7372,574117213.2260524,0.6872,0.6872,264246458.62385514,0.723,0.723,289491584.74545103,0.6737,0.6737,246238999.3466794,0.6683,0.6683,215682120.3689376,0.6697,0.6697,378441538.60163534,0.7047,0.7047,1068680728.7625942,-0.0,887136662.3869838,0.4312
37,592565808.7383968,0.7399,0.7399,1381648311.970634,0.7117,0.7117,849095780.4430833,0.7286,0.7286,1033038928.1017386,0.6911,0.6911,782541362.0022417,0.6983,0.6983,611941802.1826192,0.6912,0.6912,942467643.8665066,0.725,0.725,2960781680.153134,-0.0,2488715166.2857366,0.4312
38,1067828226.4682943,0.7378,0.7378,2377199799.754175,0.7231,0.7231,1668754239.7402256,0.7269,0.7269,2171163322.109483,0.7015,0.7015,1552105269.977158,0.7118,0.7118,1157529329.7994947,0.698,0.698,1649562871.3420463,0.7367,0.7367,5676697792.321397,-0.0,4309958643.028192,0.4312
39,1463591399.6388996,0.7365,0.7365,3217576743.30824,0.7259,0.7259,2399779360.1264176,0.7249,0.7249,3183784350.137733,0.7112,0.7112,2185963052.597678,0.713,0.713,1643335747.0191267,0.6977,0.6977,2207394351.888526,0.7472,0.7472,7960740402.666449,-0.0,5992368536.861624,0.4316
40,1777461751.8283856,0.7329,0.7329,3977401765.4449487,0.7246,0.7246,2979465570.916366,0.722,0.722,4206178537.0838647,0.708,0.708,2771859509.7379913,0.7077,0.7077,2045283453.1771674,0.6955,0.6955,2693131108.5682926,0.7426,0.7426,9949619797.598763,-0.0,7420252599.296896,0.4317
41,1998407642.4163651,0.7308,0.7308,4467261184.203581,0.7232,0.7232,3385621507.910082,0.7229,0.7229,4945475033.90559,0.709,0.709,3168782108.345321,0.7094,0.7094,2289366593.4751716,0.6937,0.6937,2950075287.616175,0.7402,0.7402,11437505131.58545,-0.0,8440828060.07321,0.4316
42,2077419203.8846984,0.7314,0.7314,4682608766.4792595,0.7144,0.7144,3633538013.147356,0.7197,0.7197,5406290224.330938,0.7162,0.7162,3374688536.4116282,0.7031,0.7031,2429290377.8301725,0.6866,0.6866,3061838212.0978746,0.7379,0.7379,12302105640.457733,-0.0,9002013985.719461,0.4312
43,2026214748.3699129,0.7263,0.7263,4595500025.881193,0.7019,0.7019,3654383294.7573404,0.716,0.716,5531419270.136697,0.7054,0.7054,3361268918.4655967,0.7001,0.7001,2432756412.531745,0.6753,0.6753,2976180975.2008667,0.7307,0.7307,12310169479.993896,-0.0,8993379034.282515,0.4312
44,1889251428.4140303,0.729,0.729,4331027581.458589,0.7018,0.7018,3504292107.561378,0.7169,0.7169,5461999390.5656185,0.7083,0.7083,3220238656.1247125,0.6984,0.6984,2319714651.162261,0.6781,0.6781,2830681177.154095,0.7307,0.7307,11771545940.690758,-0.0,8715196141.114727,0.4312
45,1669342748.0212932,0.7237,0.7237,3845071345.402184,0.6944,0.6944,3195898072.7842865,0.7079,0.7079,5067136523.304267,0.7027,0.7027,2899783328.704948,0.6901,0.6901,2114321275.895935,0.674,0.674,2548334751.6574945,0.7124,0.7124,10774201863.687704,-0.0,7898304518.377801,0.4312
46,1383441073.4927561,0.7203,0.7203,3232916462.5005093,0.7019,0.7019,2789846322.8209662,0.7112,0.7112,4474508036.263268,0.6974,0.6974,2439737553.174159,0.6935,0.6935,1804505202.9649084,0.6773,0.6773,2127251002.482643,0.7105,0.7105,9124306543.195194,-0.0,6548418760.470816,0.4316
47,1028356783.5448041,0.7188,0.7188,2494345688.917863,0.7021,0.7021,2187448388.835142,0.7085,0.7085,3646429023.48702,0.6955,0.6955,1911369434.8713548,0.6923,0.6923,1398363734.7860057,0.6763,0.6763,1588054131.0562694,0.7091,0.7091,7138534406.293463,-0.0,5038611137.382923,0.4317
48,591106273.9194875,0.7206,0.7206,1471913756.1376257,0.7049,0.7049,1389552634.8243349,0.71,0.71,2499424679.39783,0.6931,0.6931,1202701190.0119646,0.6921,0.6921,818105945.7051135,0.6802,0.6802,931903565.3607482,0.7022,0.7022,4441197480.085478,-0.0,3001674622.4676056,0.4316
49,144708299.7989406,0.7135,0.7135,343198316.36782205,0.7013,0.7013,531662537.80082047,0.7092,0.7092,1091786370.0468206,0.6963,0.6963,420985511.60921896,0.6927,0.6927,272875099.0362554,0.676,0.676,192428507.36932737,0.7059,0.7059,1440097268.4203432,-0.0,777366293.1831355,0.4312
50,163159965.1652838,0.7105,0.7105,367828508.52542466,0.7005,0.7005,232481517.90286556,0.7057,0.7057,393874588.7842119,0.7006,0.7006,214221378.5253057,0.6919,0.6919,189600082.54529557,0.6689,0.6689,250243517.80958274,0.7081,0.7081,881908179.9010162,-0.0,713508059.4572437,0.4312
51,396059083.57610893,0.7091,0.7091,721052304.5069187,0.6902,0.6902,400049792.5470883,0.7055,0.7055,496552151.92466176,0.6917,0.6917,410946454.62209904,0.686,0.686,335516045.95519984,0.6573,0.6573,516076411.27899945,0.7136,0.7136,1754255973.310112,-0.0,1557667288.8487341,0.4312
52,692712207.7842124,0.7181,0.7181,1117999512.8379185,0.6771,0.6771,626486062.7927572,0.7124,0.7124,1035090534.0187001,0.6881,0.6881,715785282.6263777,0.6768,0.6768,550794265.6407183,0.6565,0.6565,752294707.4471993,0.7139,0.7139,2838897717.057947,-0.0,2506144816.023536,0.4312
53,980387625.4009541,0.7173,0.7173,1607320261.6590078,0.6701,0.6701,950750808.7361563,0.713,0.713,1719821074.2297266,0.685,0.685,1047786635.8554204,0.6703,0.6703,812744860.3195751,0.6537,0.6537,1051572161.7634553,0.7078,0.7078,4206257631.94146,-0.0,3659462633.9396896,0.4316
54,1123295132.8646164,0.7123,0.7123,1861275263.0431743,0.668,0.668,1089132656.9220657,0.7083,0.7083,2252371820.4664326,0.6831,0.6831,1262013505.8386655,0.6696,0.6696,981673940.1119403,0.6495,0.6495,1202435051.0428905,0.7078,0.7078,4847742955.243066,-0.0,4201720572.7162814,0.4317
55,1203113602.387571,0.7187,0.7187,2055237656.792071,0.6759,0.6759,1177409067.564971,0.7076,0.7076,2610700501.465764,0.6931,0.6931,1442853837.1172006,0.676,0.676,1106356716.2719498,0.655,0.655,1331044716.358369,0.7172,0.7172,5277614913.424894,-0.0,4587646202.701972,0.4316
56,1228044700.5152361,0.7204,0.7204,2168406812.828861,0.6831,0.6831,1236231149.3994768,0.7058,0.7058,2885148755.789854,0.6915,0.6915,1576696774.8520072,0.6788,0.6788,1168413376.9203646,0.6557,0.6557,1371508348.049175,0.7166,0.7166,5570701908.2880535,-0.0,4891743794.726213,0.4312
57,1176573296.254428,0.7258,0.7258,2118477373.58382,0.6898,0.6898,1220117848.222217,0.71,0.71,2927073230.0947847,0.6928,0.6928,1583700312.9695892,0.684,0.684,1136940059.4878159,0.66,0.66,1358448875.4221246,0.7189,0.7189,5459083203.72674,-0.0,4803748998.479084,0.4312
58,1097675152.0424147,0.7275,0.7275,2030126716.1785238,0.696,0.696,1162464490.4922736,0.7144,0.7144,2830859239.358256,0.7005,0.7005,1538664667.2123082,0.6862,0.6862,1061589752.6901302,0.6628,0.6628,1305499191.390291,0.7291,0.7291,5191374442.617792,-0.0,4521456314.45554,0.4312
59,972767788.3744992,0.7281,0.7281,1843917168.7678313,0.7004,0.7004,1044507242.6562974,0.715,0.715,2618626126.7895503,0.7029,0.7029,1415126235.085016,0.6895,0.6895,958720442.1337994,0.6678,0.6678,1192247177.605242,0.7352,0.7352,4569489630.888482,-0.0,4057110727.865234,0.4312
60,815608664.558666,0.7259,0.7259,1558265336.7075136,0.6888,0.6888,885482732.8149381,0.7148,0.7148,2214830053.8311234,0.6982,0.6982,1199217969.3907135,0.6832,0.6832,802698942.7874388,0.6598,0.6598,1009391709.3503537,0.7279,0.7279,3815630445.3135,-0.0,3404306850.4421644,0.4316
61,627567004.5030887,0.7296,0.7296,1159055027.1428225,0.6947,0.6947,789683638.5852026,0.7176,0.7176,1746831701.5845518,0.7014,0.7014,908416196.9302979,0.6801,0.6801,620733758.7433977,0.6644,0.6644,776562853.3640068,0.7281,0.7281,3027018078.102784,-0.0,2565412944.527215,0.4317
62,417234597.1235739,0.7205,0.7205,693024839.995143,0.6864,0.6864,654368738.694326,0.7107,0.7107,1236501816.8743932,0.6941,0.6941,559158009.4955522,0.6778,0.6778,443184523.8401713,0.6555,0.6555,489939461.38862836,0.725,0.725,2082901938.5642219,-0.0,1523846853.280262,0.4316
63,139922300.37051374,0.7219,0.7219,181425721.52484962,0.6948,0.6948,417169442.3142219,0.7131,0.7131,549473578.0345417,0.6966,0.6966,116629148.94148973,0.6794,0.6794,196452864.05371067,0.6613,0.6613,152697693.81415188,0.7259,0.7259,822475521.4395281,-0.0,261723970.65306097,0.4312
64,132022540.17735317,0.718,0.718,183809600.505507,0.6857,0.6857,479029696.75438815,0.7088,0.7088,348852743.4496904,0.6907,0.6907,53397526.14672082,0.6705,0.6705,214459710.44769505,0.6534,0.6534,169918360.75560617,0.7181,0.7181,837179686.4215207,-0.0,196148490.34902292,0.4312
65,133452077.13283774,0.7277,0.7277,201161672.2326242,0.6891,0.6891,507320005.09587985,0.7162,0.7162,364187177.09187496,0.6971,0.6971,49455412.34932765,0.673,0.673,224154078.18286055,0.6616,0.6616,180459581.1204868,0.7185,0.7185,890305071.4761071,-0.0,201325686.82181534,0.4312
66,116067611.351377,0.7201,0.7201,194628914.5329693,0.6774,0.6774,469821856.228886,0.7135,0.7135,383117223.86658275,0.689,0.689,50687587.78428732,0.6719,0.6719,214625524.56557465,0.6508,0.6508,172959481.5652273,0.713,0.713,834933726.3759267,-0.0,198311354.88941723,0.4312
67,78731420.37397064,0.7156,0.7156,143702071.52500919,0.662,0.662,351220735.8112751,0.7065,0.7065,347440836.92713284,0.6791,0.6791,47187147.63315801,0.6615,0.6615,174486870.20282397,0.6415,0.6415,129696412.01374944,0.7031,0.7031,599402140.4204278,-0.0,128295821.391095,0.4316
68,64323153.26592059,0.7206,0.7206,124604124.46403019,0.671,0.671,310774422.545223,0.7091,0.7091,290759138.7855706,0.6823,0.6823,47429386.13785697,0.6667,0.6667,145304691.4960508,0.6508,0.6508,112847588.84064078,0.7076,0.7076,545705711.2464898,-0.0,129257783.15168089,0.4317
69,42720895.277585626,0.7199,0.7199,100885278.41077897,0.6749,0.6749,256133110.4191601,0.7188,0.7188,279285727.8181237,0.6809,0.6809,42191568.87162827,0.6709,0.6709,113306146.43664786,0.6489,0.6489,79214266.56413001,0.7078,0.7078,448769931.83377075,-0.0,114826252.86255138,0.4316
70,28462054.503153637,0.7229,0.7229,84782884.50026219,0.6826,0.6826,187188289.99689376,0.7233,0.7233,240022150.46368262,0.6869,0.6869,30557901.452055894,0.6726,0.6726,83273948.3830991,0.6561,0.6561,73034571.35188402,0.7139,0.7139,304703851.3678116,-0.0,82582098.39253865,0.4312
71,22899275.21635206,0.7207,0.7207,67903362.22442515,0.6761,0.6761,139172418.98563358,0.7237,0.7237,192983489.7576351,0.6881,0.6881,29576055.763298407,0.6683,0.6683,59453046.937906034,0.6536,0.6536,66746933.43084281,0.7152,0.7152,244336859.29194558,-0.0,107285234.08960955,0.4312
72,21605445.288724225,0.7146,0.7146,70579216.16664225,0.6758,0.6758,127235643.45519267,0.7188,0.7188,145163696.18360135,0.6833,0.6833,30089002.94281634,0.6692,0.6692,57951987.89899699,0.6528,0.6528,72620637.23235098,0.7081,0.7081,200720656.44304755,-0.0,117008918.01565374,0.4312
73,22976302.614702098,0.7102,0.7102,61026668.61082928,0.6663,0.6663,122818491.58215374,0.7136,0.7136,104479009.74184686,0.6848,0.6848,32494480.797570392,0.6655,0.6655,48729827.89291381,0.6465,0.6465,53616462.230585024,0.7088,0.7088,166758846.49571466,-0.0,131282488.20984937,0.4312
74,30513350.513995383,0.7169,0.7169,62243868.32668436,0.67,0.67,160375247.32043797,0.7138,0.7138,75140224.81476803,0.6932,0.6932,32802639.229861744,0.6687,0.6687,62140985.13465353,0.6552,0.6552,57772619.85312437,0.7142,0.7142,301595476.6413415,-0.0,164688351.9875593,0.4316
75,33948516.63114212,0.7149,0.7149,63403942.87182711,0.6709,0.6709,170831689.06179312,0.7143,0.7143,108345345.09744747,0.6843,0.6843,32795043.280568574,0.6732,0.6732,79796169.84879667,0.6492,0.6492,56348270.001460105,0.7118,0.7118,316222891.8206933,-0.0,144063421.88873562,0.4317
76,27261760.605057187,0.7197,0.7197,64820935.97138183,0.6814,0.6814,150263540.24237186,0.7204,0.7204,107862655.46567883,0.6963,0.6963,29341136.739103667,0.6738,0.6738,68346913.88427255,0.6586,0.6586,55914307.45997891,0.7244,0.7244,282512287.8703166,-0.0,131787319.43426186,0.4316
77,22815708.199788034,0.7174,0.7174,68179838.84184311,0.6664,0.6664,125538637.66740729,0.7135,0.7135,107490185.83465801,0.6965,0.6965,35706838.91762668,0.6649,0.6649,66105216.9499657,0.6504,0.6504,58943473.54064429,0.7161,0.7161,254043565.6930469,-0.0,116885570.06782964,0.4312
78,29861742.519636575,0.7217,0.7217,107441568.50188494,0.6705,0.6705,131544827.16162142,0.7123,0.7123,121439980.023797,0.6991,0.6991,55076384.97028504,0.657,0.657,102263700.54306547,0.6501,0.6501,90505128.3820463,0.7152,0.7152,283177451.1592546,-0.0,138572104.11798027,0.4312
79,60009535.708946824,0.7214,0.7214,184697311.65723184,0.6753,0.6753,188516387.68733624,0.7087,0.7087,183530673.61965746,0.7066,0.7066,93207187.3287348,0.6519,0.6519,175158439.18948114,0.6475,0.6475,135595381.0416937,0.7273,0.7273,459247375.04816216,-0.0,249167579.9602213,0.4312
80,87471353.48552172,0.7213,0.7213,229990229.19671923,0.6782,0.6782,325899987.40795624,0.7002,0.7002,249588705.67012274,0.706,0.706,128373773.23287311,0.6357,0.6357,243504350.31699848,0.6403,0.6403,190514531.37980443,0.7219,0.7219,711971432.4923221,-0.0,386358648.37142074,0.4312
81,113750027.50429696,0.7137,0.7137,273349532.9640561,0.6759,0.6759,431881636.89370227,0.6835,0.6835,293087653.93660694,0.6998,0.6998,142533406.80801335,0.6187,0.6187,313601305.24576735,0.6267,0.6267,225131442.22712925,0.7123,0.7123,878428449.0398642,-0.0,535409282.2721248,0.4316
82,129095263.09078987,0.716,0.716,279323373.6519714,0.6866,0.6866,527384962.3253099,0.696,0.696,315898886.57973474,0.7059,0.7059,140424695.20155346,0.6259,0.6259,328723438.46737677,0.6325,0.6325,241977316.8922482,0.7236,0.7236,999014783.2461904,-0.0,639303699.7646013,0.4317
83,136385881.2492227,0.7206,0.7206,284707936.5569087,0.6875,0.6875,575140271.3099025,0.7007,0.7007,332791280.42510617,0.7117,0.7117,145404263.85037783,0.634,0.634,342357186.62407184,0.6401,0.6401,249256069.80358332,0.7299,0.7299,1070786867.0422124,-0.0,722893853.124826,0.4316
